config,seed,epoch,h_alpha,rho,s_tau,train_loss,val_acc
full,45,23,0.29952256456086734,1.0675121025939238,0.1286458969116211,0.002540595071203373,0.9911816578483245
full,45,24,0.3021425748624408,0.7017252736630935,0.15415430068969727,0.0019652075074602184,0.9576719576719577
full,45,25,0.27006216445294157,8.890825025782783,0.1385650634765625,0.008996388638245669,0.9770723104056437
full,45,26,0.27364461526820416,1.0562757401694856,0.13744735717773438,0.01154222181989042,0.9770723104056437
full,45,27,0.27538306054406414,0.727780823494373,0.14107656478881836,0.007836097959627539,0.9885361552028219
full,45,28,0.3083312991320461,0.5901155955488339,0.1489276885986328,0.006394820281664136,0.9708994708994709
full,45,29,0.30302090608301757,0.8865676489513017,0.11768245697021484,0.010466568424167197,0.9876543209876543
full,45,30,0.27518270170340375,1.250972286379138,0.12363958358764648,0.009441306694308317,0.9867724867724867
full,45,31,0.30600720789568636,2.163785530577517,0.14390039443969727,0.01972357027981647,0.9902998236331569
full,46,0,0.32050769765395826,1.0600108742436456,0.09305715560913086,1.1491636317152916,0.8880070546737213
full,46,1,0.32444157823847464,0.302035292786287,0.09286737442016602,0.1949586088537539,0.9761904761904762
full,46,2,0.3734410648718558,0.5271841786412531,0.12140464782714844,0.07743787167429113,0.9841269841269841
full,46,3,0.39767009248892443,0.7828381221400365,0.09422874450683594,0.04600924880258621,0.9858906525573192
full,46,4,0.32303695555852874,0.2855481054204015,0.0988006591796875,0.021437734989160764,0.9744268077601411
full,46,5,0.36720048355099155,0.28690483191003535,0.10823297500610352,0.016261029217000813,0.9894179894179894
full,46,6,0.3375706153732565,0.6086934403661913,0.10963582992553711,0.02135509552429863,0.9876543209876543
full,46,7,0.33217345069109994,0.6157760336207753,0.10782480239868164,0.027184909348990642,0.9894179894179894
full,46,8,0.34792677353369533,0.4781643570620248,0.10453176498413086,0.016918342025529592,0.9858906525573192
full,46,9,0.34444060192601933,0.4789975909479444,0.11136722564697266,0.009531939376880523,0.9876543209876543
full,46,10,0.3506654331024455,0.22624875430582586,0.12850570678710938,0.01127653496758062,0.9876543209876543
