config,seed,epoch,h_alpha,rho,s_tau,train_loss,val_acc
full,43,24,0.4724069809499901,4.347220665462391,0.30906057357788086,0.0034938167925983215,0.9978902294180159
full,43,25,0.5218566444912169,3.814866437888868,0.3147416114807129,0.003334588061151409,0.999609301744077
full,43,26,0.5303604911435966,3.9142856709878653,0.32072019577026367,0.002999909378678434,0.9977339501156467
full,43,27,0.534769156556935,3.575671590862144,0.31281137466430664,0.0034689912813615745,0.999609301744077
full,43,28,0.499592669247492,3.644146064561777,0.31589269638061523,0.002558084603952762,0.9993436269300494
full,43,29,0.5294278954318882,3.9877331894561916,0.3162975311279297,0.0026836786036136067,0.9994842783021817
full,43,30,0.5550357988371788,3.9868886670469466,0.3220787048339844,0.0024694444416069063,0.999031068325311
full,43,31,0.45618265939910324,4.04724586740662,0.3315272331237793,0.002937008961254774,0.9987810214415203
full,43,32,0.45143667151799993,3.8374074588821565,0.3326840400695801,0.002933385987058322,0.999437394511471
full,43,33,0.4380149704574575,4.001197987467658,0.33106136322021484,0.0025333246313609488,0.9995155341626555
full,43,34,0.43416494193178007,3.718912414169116,0.33640432357788086,0.002073745188523472,0.9992654872788648
full,43,35,0.5589372038778786,4.013809226506705,0.3199467658996582,0.002599675379791298,0.9990935800462587
full,44,0,0.7479521516781447,1.694624697950036,0.1133427619934082,0.1749173328706041,0.9838719759954991
full,44,1,0.7182111500992847,2.7806164399140862,0.16368961334228516,0.04130224949763902,0.9924673376258049
full,44,2,0.7592106563656229,3.268578200235244,0.1813368797302246,0.02526664337860809,0.9889666812527349
full,44,3,0.7321887057363539,3.5063699203257195,0.20685529708862305,0.019677680355698675,0.9973901356504344
full,44,4,0.6932758233292616,3.595784993587905,0.2323603630065918,0.014953002195634259,0.9973745077201975
full,44,5,0.7110662967949258,3.805825973398753,0.2548065185546875,0.011326572187575688,0.9980308807901481
full,44,6,0.6376858075623175,3.9051456389423436,0.2680935859680176,0.010015664486441537,0.998046508720385
full,44,7,0.6423634302643519,4.0154164309491005,0.2774524688720703,0.008511686716654534,0.9950928299056073
full,44,8,0.6814166819460243,3.9641833826602157,0.2641911506652832,0.007806457686627276,0.9972651122085391
full,44,9,0.6270649991380217,3.9252237023081906,0.2865314483642578,0.007207468274316573,0.9990466962555479
full,44,10,0.5671264696874941,4.158928725883851,0.2932758331298828,0.005844582149188854,0.9987028817903357
full,44,11,0.6560331522682776,3.8495241349399767,0.2891502380371094,0.005370548480898154,0.9994686503719448
full,44,12,0.6154060663439941,3.6819109959844627,0.29460668563842773,0.006271398326508999,0.9983434393948866
full,44,13,0.5811561435405941,3.6668601105830954,0.30604124069213867,0.004751745208928564,0.9989841845346003
full,44,14,0.6496591996162777,3.6128016699703567,0.294008731842041,0.004348354223837474,0.9966868787897731
full,44,15,0.5679554760994338,3.557816117487545,0.313018798828125,0.0048105957971808335,0.9964055760455085
full,44,16,0.6205978776181773,3.3369927620600977,0.303194522857666,0.004548700635932914,0.9991560917672063
full,44,17,0.6171686148188074,3.5119540976104187,0.3051776885986328,0.004069294391836587,0.9984997186972557
full,44,18,0.5563374907505712,3.465582983319212,0.3167128562927246,0.00336881518839525,0.999031068325311
full,44,19,0.5610900376079277,3.592747301885151,0.3175935745239258,0.004104409066646604,0.9966399949990623
full,44,20,0.6124997160049045,3.316373452315,0.3082127571105957,0.0038106022903581344,0.9991248359067325
full,44,21,0.5632756839918707,3.248221116719111,0.31261777877807617,0.003168864280339904,0.9990154403950741
full,45,0,0.6865509529219638,1.6510406367921473,0.11310148239135742,0.18615826662588486,0.9847471400887666
full,45,1,0.749637630768802,2.325078939037208,0.1466836929321289,0.04597302322908549,0.9903575670438207
full,45,2,0.7125168562484626,2.6823831449877042,0.18259382247924805,0.02816384241226448,0.9930924548352816
full,45,3,0.7033543963185223,2.851691945570045,0.1982712745666504,0.021892370687217232,0.9960305057198224
full,45,4,0.7242316441129024,3.0242217025537297,0.21155881881713867,0.016880876437813847,0.9979214852784897
full,45,5,0.6503933571357122,3.1483805302936827,0.23352766036987305,0.013395612383642938,0.9967337625804839
full,45,6,0.7067598305674017,3.1158682767080195,0.24780941009521484,0.01072291272046252,0.9975464149528036
full,45,7,0.6986105637114972,2.9673065833013084,0.2528553009033203,0.010583211901480906,0.9988904169531787
full,45,8,0.6626825187159497,3.1841739692890543,0.2630276679992676,0.00802280048655857,0.9982652997437019
full,45,9,0.6431553287317713,3.1700408714397486,0.2710127830505371,0.008997551863101144,0.9986091142089142
full,45,10,0.5962863416480929,3.2859700032678547,0.28044843673706055,0.00718584083459579,0.996124273301244
full,45,11,0.6453722986655203,3.178145392292313,0.2804374694824219,0.006771250990483838,0.9988747890229418
