config,metric,n_paired,cfg_mean,full_mean,mean_diff,ci95_lo,ci95_hi,ci90_lo,ci90_hi,cohens_dz,t_p,wilcoxon_p,shapiro_p,tost_p_0.5pp,tost_eq_0.5pp,tost_p_1.0pp,tost_eq_1.0pp,t_holm_p,wilcoxon_holm_p,t_bh_p,tier
w/o_gating,macro_f1,30,0.6486874457298053,0.6319626235981615,0.016724822131644168,-0.009698503418807822,0.043148147682096155,-0.005227033859866538,0.038676678123154874,0.23634993287348685,0.20569169288627864,0.11907656863331795,0.2655432563409481,0.814196655236472,False,0.6966727421849528,False,1.0,1.0,0.35528565134902673,n.s.
full_r1,macro_f1,10,0.6250486190557917,0.6329071110386312,-0.007858491982839572,-0.07310876041275574,0.0573917764470766,-0.06073329346970466,0.045016309504025506,-0.08615484113473576,0.7914270254845096,0.921875,0.24561360088731055,0.5383847952785429,False,0.4712201899737005,False,1.0,1.0,0.8104628296805426,n.s.
full_r3_stft,macro_f1,10,0.6477234694911068,0.6329071110386312,0.01481635845247572,-0.03152366482728076,0.061156381732232194,-0.022734744259776805,0.05236746116472824,0.22872203314596437,0.48787695480339943,0.556640625,0.848831252682713,0.6783873913882519,False,0.5903101270934523,False,1.0,1.0,0.5452742436037994,n.s.
full_r3_sinc,macro_f1,10,0.654555396505471,0.6329071110386312,0.021648285466839945,-0.017561863360417984,0.060858434294097874,-0.010125205821376083,0.05342177675505597,0.39495515764901434,0.24318774461752848,0.275390625,0.6057930033886637,0.8190500802501681,False,0.7407777675374583,False,1.0,1.0,0.38312082395879715,n.s.
full_r1_r3,macro_f1,10,0.6659893953077678,0.6329071110386312,0.033082284269136716,-0.021186842935453476,0.08735141147372691,-0.010894076240248282,0.07705864477852171,0.4360792542061499,0.20119486240265588,0.10546875,0.024142702624180647,0.8640863705718252,False,0.8194478276361794,False,1.0,1.0,0.35528565134902673,n.s.
full_r2,macro_f1,10,0.6525038518438303,0.6329071110386312,0.019596740805199308,-0.017983385248082743,0.05717686685848136,-0.010855880352258322,0.05004936196265694,0.37303397678833794,0.26838563505833096,0.322265625,0.04026360062958176,0.7987825852967074,False,0.7111781437265797,False,1.0,1.0,0.38312082395879715,n.s.
full_r2_gumbel,macro_f1,30,0.6468936669440092,0.6319626235981615,0.014931043345847921,-0.012943504833074937,0.04280559152477078,-0.008226453097353363,0.038088539789049206,0.20001555461109008,0.2822995544959558,0.13473508320748806,0.14906388900535184,0.7639754215886496,False,0.6399391521413276,False,1.0,1.0,0.38312082395879715,n.s.
full_r4_sparsemax,macro_f1,10,0.5977118547096457,0.6329071110386312,-0.03519525632898531,-0.0697490752830911,-0.0006414373748795249,-0.06319554447758943,-0.007194968180381185,-0.728636383330296,0.046681256030169004,0.130859375,0.30976173183795114,0.9602668504157408,False,0.9332750581658588,False,0.5584518311346137,1.0,0.09854931828591235,suggestive
full_r4_entmax,macro_f1,10,0.5701026890146392,0.6329071110386312,-0.06280442202399181,-0.09911461785398704,-0.02649422619399657,-0.09222796989065399,-0.03338087415732963,-1.2373267616572543,0.0035497649160953493,0.005859375,0.8744093538593829,0.9971315203702001,False,0.9953090447654088,False,0.06034600357362094,0.09375,0.02248184446860388,suggestive
full_r4_lstm,macro_f1,10,0.6277546279108634,0.6329071110386312,-0.005152483127767654,-0.05234484451778782,0.04203987826225251,-0.04339426818454246,0.033089301929007144,-0.0781029870062075,0.8104628296805426,1.0,0.28992846655731613,0.5028362163622513,False,0.41072624211989217,False,1.0,1.0,0.8104628296805426,n.s.
full_r1_r2_r3,macro_f1,10,0.6795548770737414,0.6329071110386312,0.04664776603511023,0.00449455422542222,0.08880097784479823,0.012489397646710733,0.08080613442350973,0.7916312933116783,0.03367577156872339,0.048828125,0.4342403850852452,0.973867221154845,False,0.9596155997371729,False,0.43778503039340405,0.68359375,0.09140566568653492,suggestive
full_all,macro_f1,10,0.6654718861685271,0.6329071110386312,0.032564775129896015,0.003952089532559565,0.061177460727232465,0.009378815786445817,0.05575073447334621,0.8141646369363185,0.029960130659115493,0.048828125,0.9265631109601714,0.9713805057566272,False,0.945954541353049,False,0.4287835138526407,0.68359375,0.09140566568653492,suggestive
r1_w/o_spectral,macro_f1,10,0.6873443107962034,0.6329071110386312,0.054437199757572274,0.0071326313236382485,0.1017417681915063,0.016104489018572192,0.09276991049657235,0.8232191536348734,0.028585567590176046,0.048828125,0.13163309977231386,0.9788433926308898,False,0.9687380801786892,False,0.4287835138526407,0.68359375,0.09140566568653492,suggestive
full_fixed_global,macro_f1,10,0.675480019847722,0.6329071110386312,0.0425729088090908,0.014099174230807018,0.07104664338737458,0.01949954681926986,0.06564627079891175,1.0695760417680542,0.008097423730794069,0.00390625,0.16455725983119573,0.9923383880678793,False,0.9853410565874952,False,0.1295587796927051,0.06640625,0.038462762721271825,suggestive
full_fixed_class,macro_f1,10,0.7006623825963392,0.6329071110386312,0.06775527155770798,0.0012891549931837581,0.13422138812223222,0.013895221576047424,0.12161532153936855,0.7292317338695221,0.04653765259455114,0.037109375,0.3539007366373603,0.9692832576937644,False,0.9595492427876224,False,0.5584518311346137,0.556640625,0.09854931828591235,suggestive
