config,seed,final.H_alpha,final.S_tau,final.accuracy,final.alpha_tvar,final.epochs_run,final.macro_f1,final.per_class_alpha,final.per_class_alpha.0,final.per_class_alpha.1,final.per_class_alpha.10,final.per_class_alpha.11,final.per_class_alpha.12,final.per_class_alpha.13,final.per_class_alpha.14,final.per_class_alpha.15,final.per_class_alpha.16,final.per_class_alpha.17,final.per_class_alpha.2,final.per_class_alpha.3,final.per_class_alpha.4,final.per_class_alpha.5,final.per_class_alpha.6,final.per_class_alpha.7,final.per_class_alpha.8,final.per_class_alpha.9,final.perm_null,final.perm_null.null_mean,final.perm_null.null_std,final.perm_null.observed_var,final.perm_null.z,final.rho_last
full_r1_r2_r3,44,0.6322191704681033,0.06363262981176376,0.7514384349827388,0.00924191065132618,12,0.6008808235088278,,0.6000971794128418,0.49998438358306885,0.5368787050247192,0.51799476146698,0.5110174417495728,0.48556816577911377,0.5330203771591187,0.5081931352615356,0.5017145276069641,0.5181933045387268,0.5089419484138489,0.4497893154621124,0.592757523059845,0.4738682806491852,0.47888320684432983,0.5725995898246765,0.5674082636833191,0.5067915320396423,,0.003786471683997661,1.73078227874892e-05,0.00924191065132618,315.2007458772449,0.5864114434880137
full_r1_r2_r3,45,0.5704756647397421,0.08890553563833237,0.7848101265822784,0.02049355022609234,32,0.692825768182147,,0.6071330308914185,0.5285906195640564,0.500856339931488,0.5206059813499451,0.484825074672699,0.4435511827468872,0.48179253935813904,0.5321597456932068,0.5295363664627075,0.40226414799690247,0.4013419449329376,0.39169222116470337,0.5757721066474915,0.4489964544773102,0.4450937509536743,0.5777793526649475,0.5816441774368286,0.5318313241004944,,0.01478271996602416,3.445209949522835e-05,0.02049355022609234,165.76145366983167,0.9954397112296625
full_r1_r2_r3,46,0.5731761810585477,0.07504205405712128,0.7756041426927502,0.012039614841341972,21,0.6833875743978706,,0.5856115221977234,0.5691958665847778,0.4744875133037567,0.4843428134918213,0.5328572392463684,0.5386890172958374,0.49255049228668213,0.5647506713867188,0.5680394172668457,0.5032885074615479,0.45661675930023193,0.41142407059669495,0.574582576751709,0.4203328788280487,0.4221246838569641,0.557761549949646,0.560102105140686,0.5655287504196167,,0.007731403317302465,4.090011869282575e-05,0.012039614841341972,105.33493682648577,0.5773701524354717
full_r1_r2_r3,47,0.5471283081394742,0.11061199754476547,0.7825086306098964,0.020431259647011757,29,0.712100441103728,,0.5553169250488281,0.4751780033111572,0.4949460029602051,0.4981878399848938,0.5022132396697998,0.48314908146858215,0.5091716647148132,0.4585205316543579,0.47183743119239807,0.5158854722976685,0.4801311790943146,0.4428589344024658,0.5377079844474792,0.47192779183387756,0.4776996672153473,0.5697461366653442,0.5355182886123657,0.46156346797943115,,0.013103194022551178,2.4798793164595223e-05,0.020431259647011757,295.5008850762075,0.5508144876426628
full_r1_r2_r3,48,0.5551734126638597,0.09894255548715591,0.7963176064441887,0.02134893275797367,33,0.7039050321810784,,0.6116341948509216,0.5963706970214844,0.4589579403400421,0.4860783815383911,0.4566303491592407,0.4890974760055542,0.511479377746582,0.5803549289703369,0.5929470658302307,0.47436752915382385,0.4573662579059601,0.3838484287261963,0.6244788765907288,0.47154125571250916,0.4706227779388428,0.6108782291412354,0.5864694714546204,0.5836595296859741,,0.011954385321587324,4.865163646224653e-05,0.02134893275797367,193.09827842231365,0.8682945095900222
full_r1_r2_r3,49,0.6178164440260937,0.07888509333133698,0.7790563866513234,0.011447912082076073,18,0.6463374205986958,,0.554634690284729,0.4815897047519684,0.5146740078926086,0.5126429200172424,0.42398232221603394,0.430065393447876,0.5068670511245728,0.4813205599784851,0.48166611790657043,0.49361085891723633,0.4660516679286957,0.4147222936153412,0.5445886254310608,0.4309746026992798,0.43239253759384155,0.5015982389450073,0.5353444218635559,0.4815797805786133,,0.007114105625078082,5.9932324344447745e-05,0.011447912082076073,72.31166873787058,0.6374703370937268
full_r1_r2_r3,50,0.496404793306279,0.14025793969631195,0.7698504027617952,0.02236446738243103,24,0.6860454727211833,,0.5507276058197021,0.5691546201705933,0.4483533799648285,0.4351876378059387,0.5355395078659058,0.5259553790092468,0.49232977628707886,0.5539877414703369,0.5659016370773315,0.5125932097434998,0.4395046532154083,0.4602011740207672,0.553156852722168,0.4501517713069916,0.45803719758987427,0.529586672782898,0.5544951558113098,0.5565052628517151,,0.01056899963878095,4.9991379393130894e-05,0.02236446738243103,235.9500308031271,0.6693019231004116
full_r1_r2_r3,51,0.45395264530834095,0.16771534085273743,0.7813578826237054,0.021107474341988564,34,0.6806630633576131,,0.5857115387916565,0.5764088034629822,0.44425180554389954,0.46589186787605286,0.49990004301071167,0.5068358182907104,0.49848833680152893,0.5597419142723083,0.57281893491745,0.4749883711338043,0.5099838972091675,0.45165154337882996,0.6018879413604736,0.4187752902507782,0.423846572637558,0.5941123962402344,0.5580418705940247,0.5628281831741333,,0.010620811581611633,5.43253301165322e-05,0.021107474341988564,193.03449320690189,0.9418482325488898
full_r1_r3,42,0.42182853609596943,0.0926038846373558,0.7836593785960875,0.042388562113046646,26,0.7111064018578735,,0.9547625184059143,0.8949186205863953,0.3062446713447571,0.1336645931005478,0.6626734137535095,0.8117964863777161,0.8963233232498169,0.8386363387107849,0.8861499428749084,0.9958152174949646,0.19719351828098297,0.3472204804420471,0.9724593162536621,0.647878110408783,0.6882897615432739,0.9151432514190674,0.912030041217804,0.8498753905296326,,0.020406093541532756,9.952713402296932e-05,0.042388562113046646,220.869098326207,0.9525156003585086
full_r1_r3,43,0.656271089769445,0.06312299519777298,0.7790563866513234,0.04390531778335571,18,0.7002848220689852,,0.5168176293373108,0.7608649730682373,0.08010006695985794,0.08955586701631546,0.361258864402771,0.5045896172523499,0.7346011400222778,0.597388505935669,0.7270824313163757,0.9986056685447693,0.032710060477256775,0.9628813862800598,0.8009640574455261,0.7038285732269287,0.6867474913597107,0.984993040561676,0.38187241554260254,0.6270891427993774,,0.011921464605256915,8.357995244020253e-05,0.04390531778335571,382.6737376801929,1.151426713334498
