config,seed,final.H_alpha,final.S_tau,final.accuracy,final.alpha_tvar,final.degradation.bias,final.degradation.downsample,final.degradation.drift,final.degradation.dropout,final.degradation.gaussian_noise_snr10,final.degradation.gaussian_noise_snr20,final.degradation.stuck,final.epochs_run,final.macro_f1,final.per_class_alpha,final.per_class_alpha.0,final.per_class_alpha.1,final.per_class_alpha.2,final.per_class_alpha.3,final.perm_null,final.perm_null.null_mean,final.perm_null.null_std,final.perm_null.observed_var,final.perm_null.z,final.rho_last
wo_gating,42,0.6718984326021359,,0.9982809008079766,0.05675235763192177,0.8225420788597684,0.9204369637582634,0.47193961273383656,0.5464547486208136,0.4115992310938159,0.8448747401815994,0.7720787034866458,38,0.9983798471460694,,0.7112886309623718,0.6910884380340576,0.6824809908866882,0.6081317663192749,,0.02247650669887662,1.9781136718659163e-05,0.05675235763192177,1732.7542743263655,3.781712768404333
wo_gating,43,0.6745705461986019,,0.9978589400972072,0.05741824954748154,0.8287933486489443,0.9001203369434416,0.5033209870754997,0.6755122134183505,0.5506430993795615,0.862894025348899,0.7279603669495366,20,0.9982233387665624,,0.6748049855232239,0.6806286573410034,0.6849745512008667,0.6189175844192505,,0.019402583502233027,1.671801015475556e-05,0.05741824582219124,2273.934499029472,3.956759354933152
wo_gating,44,0.7231486323749338,,0.998687233344273,0.05748346447944641,0.8347633112976073,0.9100598559082314,0.516995639739322,0.5430165502367669,0.4738775063684811,0.8201353399909357,0.7440886430056105,30,0.9988513169608073,,0.6575660705566406,0.646621584892273,0.6359618306159973,0.6256486773490906,,0.02195588732138276,1.8693520753401947e-05,0.05748346447944641,1900.5288370340465,4.232821017233401
wo_gating,45,0.5261645093498633,,0.998718489693219,0.07616143673658371,0.8341694406676357,0.9198430931282917,0.3941113038585963,0.2163877037523247,0.09723850157063153,0.36132339381436857,0.7747980058449373,39,0.9989439884366931,,0.7631782293319702,0.7422758936882019,0.7422676682472229,0.6593315005302429,,0.025903111416846515,2.2724878168813205e-05,0.07616142183542252,2211.5985763985345,3.465874075005021
wo_gating,46,0.602194863852469,,0.9982652726335037,0.06609801948070526,0.8242455498773188,0.933767796583681,0.5267319924359636,0.4112710394298842,0.37120040008126653,0.7472611624236173,0.7874255708190726,38,0.9984487134509,,0.7255053520202637,0.7097208499908447,0.714038074016571,0.6899088621139526,,0.043568321503698826,1.921002358864645e-05,0.06609801948070526,1172.8094294226976,4.185560141712408
wo_gating,47,0.6256681609175406,,0.9981246190632472,0.06272240728139877,0.8165564880366324,0.9320486973916576,0.42027286792629753,0.4130682794942723,0.38601590948161346,0.435213402722428,0.7709065904011753,34,0.9981179058894438,,0.7002251744270325,0.7127730846405029,0.7149484753608704,0.6101046204566956,,0.03033016314730048,2.9120745171738197e-05,0.06272240728139877,1112.342518391067,4.2660126371147244
wo_gating,48,0.6728165593799902,,0.9972806976417085,0.06575427949428558,0.8352477847062685,0.9270164252113711,0.4283057496053886,0.31504836919999374,0.10828762092299998,0.7260068451404191,0.7415099942175755,33,0.9978054414105714,,0.6519636511802673,0.6665330529212952,0.6595171093940735,0.5841225981712341,,0.021125866658985616,2.009584421535077e-05,0.06575427949428558,2220.778094031562,4.1823056903192946
wo_gating,49,0.6705834458216166,,0.9978901964461532,0.05184873566031456,0.8117742666479129,0.9289699470204885,0.45776485848688014,0.6708081329019957,0.7301483113757482,0.9414724865988404,0.7486833263006548,29,0.9982818418421595,,0.6952626705169678,0.7030079364776611,0.6983587145805359,0.6054678559303284,,0.01947686467319727,2.0614430547401767e-05,0.05184873193502426,1570.3497419945652,5.828325868648732
wo_gating,50,0.6747220884129895,,0.9983121571569225,0.060778871178627014,0.8290121430915655,0.9300170347101755,0.4044884117086283,0.3864691265413287,0.3763576976573366,0.6276118586587901,0.7402597402597403,31,0.998638112829951,,0.6885828375816345,0.6724978089332581,0.6765145063400269,0.5790973901748657,,0.029971619416028262,2.5737271321801873e-05,0.06077887490391731,1196.9899180727255,4.031259129111677
wo_gating,51,0.6699426800803449,,0.9985622079484895,0.05862037464976311,0.7980683576351446,0.9214996796224233,0.5063372247487771,0.6073421163673871,0.4878959788707081,0.8813977839248598,0.7661868817103474,23,0.9987016312701046,,0.6559535264968872,0.6866381168365479,0.6933028697967529,0.6087265610694885,,0.015180744184181093,1.3305122552082134e-05,0.05862037092447281,3264.8796210159053,4.823807066536118
wo_spectral,42,,0.30122825503349304,0.9981246190632472,,0.7421976338943848,0.9266257208495475,0.6236423023426634,0.9211871161329646,0.8411552346570397,0.9944519980621064,0.7811899292043697,24,0.9979943447360689,,,,,,,,,,,
wo_spectral,43,,0.32333555817604065,0.9982809008079766,,0.7659837154421992,0.914310719364871,0.5293262693984716,0.9170143935486896,0.858986981730664,0.9956241111475769,0.7960523231281355,29,0.9983480184757847,,,,,,,,,,,
wo_spectral,44,,0.33302274346351624,0.9983434135058684,,0.7559347992560989,0.9419413318330286,0.659305796489912,0.9507243658868207,0.8254332911372623,0.9954678294028475,0.8060699829652899,34,0.9983246995849469,,,,,,,,,,,
wo_spectral,45,,0.31046903133392334,0.997140044071452,,0.7549658524387767,0.9304546235954179,0.4030818760060637,0.9297200993951896,0.823417256630253,0.9938268710831888,0.787066122806195,24,0.9971830577057491,,,,,,,,,,,
